year,hour_of_day,is_holiday,weekday,is_workingday,temperature,feels_like_temperature,humidity,windspeed,rented_bikes,year,dayofweek,year_season,hour_workingday_casual,hour_workingday_registered,count_season,season_1,season_2,season_3,season_4,weathersit_1,weathersit_2,weathersit_3,weathersit_4,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12
0,-1.670003982455765,0,6,0,-1.3346475857785418,-1.0932806043146361,0.9473724999661597,-1.5538885118643786,16,2011,5,2011.1,0,0,56.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-1.5253742192558073,0,6,0,-1.4385163971262496,-1.1817322671308335,0.8955386933154696,-1.5538885118643786,40,2011,5,2011.1,0,0,56.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-1.3807444560558495,0,6,0,-1.4385163971262496,-1.1817322671308335,0.8955386933154696,-1.5538885118643786,32,2011,5,2011.1,0,0,56.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-1.2361146928558915,0,6,0,-1.3346475857785418,-1.0932806043146361,0.6363696600620191,-1.5538885118643786,13,2011,5,2011.1,0,0,56.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-1.0914849296559337,0,6,0,-1.3346475857785418,-1.0932806043146361,0.6363696600620191,-1.5538885118643786,1,2011,5,2011.1,0,0,56.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-0.9468551664559759,0,6,0,-1.3346475857785418,-1.2696020111127138,0.6363696600620191,-0.8214836522335098,1,2011,5,2011.1,0,0,56.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-0.8022254032560181,0,6,0,-1.4385163971262496,-1.1817322671308335,0.8955386933154696,-1.5538885118643786,2,2011,5,2011.1,0,0,56.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-0.6575956400560602,0,6,0,-1.5423852084739573,-1.2696020111127138,1.2065415332196097,-1.5538885118643786,3,2011,5,2011.1,0,0,56.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-0.5129658768561024,0,6,0,-1.3346475857785418,-1.0932806043146361,0.6363696600620191,-1.5538885118643786,8,2011,5,2011.1,0,0,56.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,-0.3683361136561445,0,6,0,-0.9191723403877107,-0.7406377907184809,0.6882034667127092,-1.5538885118643786,14,2011,5,2011.1,0,0,56.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
